Date,CAT1,CAT2
2014-11-11,4,4
2014-11-12,5,5
2014-11-13,1,1
2014-11-14,1,5
2014-11-15,7,7
2014-11-18,5,1
2014-11-19,7,7
2014-11-20,1,5
2014-11-21,1,3
2014-11-22,5,5
2014-11-25,3,3
2014-11-26,5,1
2014-11-27,7,7
2014-11-28,1,1
2014-11-29,1,1
2014-12-02,4,7
2014-12-03,3,3
2014-12-04,5,5
2014-12-05,7,1
2014-12-06,5,5
2014-12-09,5,7
2014-12-10,5,1
2014-12-11,7,7
2014-12-12,1,5
2014-12-13,3,7
2014-12-16,1,1
2014-12-17,3,3
2014-12-18,1,1
2014-12-19,7,1
2014-12-20,1,7
2014-12-23,5,7
2014-12-24,1,1
2014-12-25,3,3
2014-12-26,7,7
2014-12-27,1,7
2014-12-30,5,5
2014-12-31,1,7
2015-01-01,3,7
2015-01-02,5,7
2015-01-03,5,5
2015-01-06,4,4
2015-01-07,7,1
2015-01-08,7,1
2015-01-09,7,7
2015-01-10,6,6
2015-01-13,5,2
2015-01-14,6,6
2015-01-15,1,7
2015-01-16,2,2
2015-01-17,7,3
2015-01-20,1,7
2015-01-21,1,1
2015-01-22,2,2
2015-01-23,5,5
2015-01-24,3,3
2015-01-27,3,3
2015-01-28,3,5
2015-01-29,2,5
2015-01-30,1,3
2015-01-31,7,5
2015-02-03,7,3
2015-02-04,3,3
2015-02-05,5,5
2015-02-06,7,1
2015-02-07,7,3
2015-02-10,4,5
2015-02-11,1,6
2015-02-12,5,1
2015-02-13,1,3
2015-02-14,3,1
2015-02-17,1,3
2015-02-18,2,5
2015-02-19,5,1
2015-02-20,1,7
2015-02-21,5,7
2015-02-24,1,5
2015-02-25,3,3
2015-02-26,7,7
2015-02-27,5,7
2015-02-28,3,3
2015-03-03,7,7
2015-03-04,7,3
2015-03-05,6,3
2015-03-06,7,3
2015-03-07,3,7
2015-03-10,2,2
2015-03-11,1,5
2015-03-12,5,2
2015-03-13,1,1
2015-03-14,6,7
2015-03-17,1,1
2015-03-18,2,5
2015-03-19,7,7
2015-03-20,5,5
2015-03-21,1,7
2015-03-24,2,5
2015-03-25,5,1
2015-03-26,7,1
2015-03-27,7,4
2015-03-28,1,5
2015-03-31,3,3
2015-04-01,7,1
2015-04-02,5,7
2015-04-03,3,3
2015-04-04,1,1
2015-04-07,1,5
2015-04-08,1,5
2015-04-09,5,2
2015-04-10,5,1
2015-04-11,1,5
2015-04-14,7,7
2015-04-15,5,5
2015-04-16,6,3
2015-04-17,5,5
2015-04-18,1,7
2015-04-21,1,1
2015-04-22,1,5
2015-04-23,7,7
2015-04-24,5,7
2015-04-25,7,1
2015-04-28,4,4
2015-04-29,4,1
2015-04-30,1,3
2015-05-01,1,7
2015-05-02,3,3
2015-05-05,4,4
2015-05-06,5,5
2015-05-07,5,5
2015-05-08,5,7
2015-05-09,3,5
2015-05-12,3,3
2015-05-13,1,1
2015-05-14,5,1
2015-05-15,3,7
2015-05-16,5,1
2015-05-19,7,4
2015-05-20,3,7
2015-05-21,7,1
2015-05-22,1,3
2015-05-23,2,5
2015-05-26,3,7
2015-05-27,5,5
2015-05-28,1,5
2015-05-29,7,7
2015-05-30,3,7
2015-06-02,3,3
2015-06-03,7,7
2015-06-04,7,1
2015-06-05,7,1
2015-06-06,5,5
2015-06-09,7,7
2015-06-10,5,1
2015-06-11,5,1
2015-06-12,5,5
2015-06-13,5,5
2015-06-16,1,5
2015-06-17,1,5
2015-06-18,5,5
2015-06-19,1,7
2015-06-20,7,1
2015-06-23,4,4
2015-06-24,5,5
2015-06-25,3,7
2015-06-26,3,1
2015-06-27,6,1
2015-06-30,7,1
2015-07-01,3,7
2015-07-02,2,2
2015-07-03,7,3
2015-07-04,5,1
2015-07-07,5,3
2015-07-08,7,7
2015-07-09,3,7
2015-07-10,1,1
2015-07-11,7,5
2015-07-14,1,1
2015-07-15,6,3
2015-07-16,5,5
2015-07-17,5,7
2015-07-18,3,7
2015-07-21,3,7
2015-07-22,3,6
2015-07-23,5,1
2015-07-24,5,7
2015-07-25,1,7
2015-07-28,5,7
2015-07-29,5,5
2015-07-30,5,1
2015-07-31,3,1
2015-08-01,7,7
2015-08-04,1,7
2015-08-05,5,1
2015-08-06,7,7
2015-08-07,5,1
2015-08-08,7,7
2015-08-11,5,1
2015-08-12,7,7
2015-08-13,3,3
2015-08-14,3,3
2015-08-15,4,4
2015-08-18,2,5
2015-08-19,3,7
2015-08-20,3,7
2015-08-21,5,5
2015-08-22,7,3
2015-08-25,5,2
2015-08-26,1,5
2015-08-27,3,7
2015-08-28,6,1
2015-08-29,5,7
2015-09-01,7,1
2015-09-02,5,1
2015-09-03,3,7
2015-09-04,3,1
2015-09-05,2,5
2015-09-08,5,1
2015-09-09,3,7
2015-09-10,5,1
2015-09-11,3,7
2015-09-12,1,7
2015-09-15,5,5
2015-09-16,3,7
2015-09-17,6,6
2015-09-18,1,5
2015-09-19,2,5
2015-09-22,4,5
2015-09-23,1,1
2015-09-24,3,1
2015-09-25,1,5
2015-09-26,1,1
2015-09-29,1,4
2015-09-30,7,7
2015-10-01,7,7
2015-10-02,5,5
2015-10-03,7,5
2015-10-06,7,7
2015-10-07,1,7
2015-10-08,3,1
2015-10-09,5,1
2015-10-10,5,7
2015-10-13,3,7
2015-10-14,7,5
2015-10-15,6,7
2015-10-16,1,7
2015-10-17,1,1
2015-10-20,5,5
2015-10-21,3,3
2015-10-22,1,7
2015-10-23,5,7
2015-10-24,5,1
2015-10-27,1,1
2015-10-28,7,3
2015-10-29,5,5
2015-10-30,3,3
2015-10-31,3,1
2015-11-03,4,1
2015-11-04,7,4
2015-11-05,1,1
2015-11-06,3,3
2015-11-07,3,5
2015-11-10,5,1
2015-11-11,1,7
